rank,name,team,age,target,rec,touch,yds/touch,scrimmage_yds,td
107,Christian Kirk,ARI,22,68,43,46,13.6,625,3
106,Duke Johnson,CLE,25,62,47,87,7.2,630,3
105,Josh Allen,BUF,22,1,0,89,7.1,631,8
104,Kyle Rudolph,MIN,29,82,64,64,9.9,634,4
103,Jimmy Graham,GB,32,89,55,55,11.6,636,2
102,David Njoku,CLE,22,88,56,56,11.4,639,4
101,Zay Jones,BUF,23,102,56,57,11.4,652,7
100,Alfred Blue,HOU,27,27,20,170,3.8,653,2
99,Austin Hooper,ATL,24,88,71,71,9.3,660,4
98,Willie Snead,BAL,26,95,62,63,10.5,664,1
97,Tyrell Williams,LAC,26,65,41,43,15.5,668,5
96,Donte Moncrief,JAX,25,89,48,48,13.9,668,3
95,Cole Beasley,DAL,29,87,65,65,10.3,672,3
94,Jamaal Williams,GB,23,41,27,148,4.6,674,3
92,Rob Gronkowski,NE,29,72,47,47,14.5,682,3
91,Mike Williams,LAC,24,66,43,50,13.8,692,11
90,A.J. Green,CIN,30,77,46,46,15.1,694,6
89,Lamar Jackson,BAL,21,2,0,147,4.7,695,5
88,Courtland Sutton,DEN,23,84,42,43,16.3,703,4
87,Latavius Murray,MIN,28,26,22,162,4.4,719,6
86,John Brown,BAL,28,97,42,45,16,719,5
85,Mike Davis,SEA,25,42,34,146,5,728,5
84,Larry Fitzgerald,ARI,35,112,69,69,10.6,734,6
83,Jordy Nelson,OAK,33,88,63,64,11.5,737,3
82,Josh Gordon,NE,27,71,41,41,18,737,4
81,Gus Edwards,BAL,23,2,2,139,5.3,738,2
80,Nyheim Hines,IND,22,81,63,148,5,739,4
79,Eric Ebron,IND,25,110,66,69,10.8,742,14
78,Robby Anderson,NYJ,25,94,50,52,14.3,744,6
77,Taylor Gabriel,CHI,27,93,67,76,9.9,749,2
76,LeSean McCoy,BUF,30,46,34,195,3.9,752,3
75,Allen Robinson,CHI,25,94,55,56,13.6,763,4
74,Nelson Agholor,PHI,25,97,64,67,11.5,768,4
73,DeSean Jackson,TB,32,74,41,47,17.1,803,5
72,Dede Westbrook,JAX,25,101,66,75,10.9,815,5
71,Mark Ingram,NO,29,27,21,159,5.1,815,7
70,Adam Humphries,TB,25,105,76,78,10.6,827,5
69,Golden Tate,NYG,30,113,74,78,10.6,829,4
68,Isaiah Crowell,NYJ,25,28,21,164,5.1,837,6
67,Doug Martin,OAK,29,24,18,190,4.4,839,4
66,Chris Godwin,TB,22,95,59,59,14.3,842,7
65,Alshon Jeffery,PHI,28,92,65,65,13,843,6
64,Frank Gore,MIA,35,16,12,168,5,846,1
63,Calvin Ridley,ATL,24,92,64,70,12.1,848,10
62,Kerryon Johnson,DET,21,39,32,150,5.7,854,4
61,Jalen Richard,OAK,25,81,68,123,7,866,1
60,Mohamed Sanu,ATL,29,94,66,73,12.1,882,4
59,Jared Cook,OAK,31,101,68,68,13.2,896,6
58,T.J. Yeldon,JAX,25,78,55,159,5.7,901,5
57,Sterling Shepard,NYG,25,107,66,69,13.1,905,4
56,Dion Lewis,TEN,28,67,59,214,4.3,917,2
55,Dalvin Cook,MIN,23,49,40,173,5.3,920,4
54,Emmanuel Sanders,DEN,31,98,71,75,12.3,921,5
53,Aaron Jones,GB,24,35,26,159,5.9,934,9
52,Corey Davi,TEN,23,112,65,71,13.3,946,4
51,Julian Edelman,NE,32,108,74,83,11.5,957,6
50,Austin Ekeler,LAC,23,53,39,145,6.6,958,6
49,D.J. Moore,CAR,21,82,55,68,14.1,960,2
48,Peyton Barber,TB,24,29,20,254,3.8,963,6
47,Sony Michel,NE,23,11,7,216,4.5,981,6
46,Marlon Mack,IND,22,26,17,212,4.8,1011,10
45,Kenyan Drake,MIA,24,73,53,173,5.8,1012,9
44,Amari Cooper,DAL,24,107,75,77,13.3,1025,7
43,Tyler Boyd,CIN,24,108,76,78,13.2,1031,7
42,Tyler Lockett,SEA,26,70,57,70,14.8,1034,10
41,Jarvis Landry,CLE,26,149,81,84,12.3,1036,5
40,Kenny Golladay,DET,25,119,70,71,15.1,1071,5
39,Odell Beckham,NYG,26,124,77,82,13.1,1071,6
38,Matt Breida,SF,23,31,27,180,6,1075,5
37,Tevin Coleman,ATL,25,44,32,199,5.4,1076,9
36,Jordan Howard,CHI,24,26,20,270,4,1080,9
35,Stefon Diggs,MIN,25,149,102,112,9.7,1083,9
34,Lamar Miller,HOU,27,35,25,235,4.8,1136,6
33,Nick Chubb,CLE,23,29,20,212,5.4,1145,10
32,Derrick Henry,TEN,24,18,15,230,5,1158,12
31,Zach Ertz,PHI,28,156,116,116,10,1163,8
30,Tarik Cohen,CHI,23,91,71,170,6.9,1169,8
29,James White,NE,26,123,87,181,6.5,1176,12
28,Kareem Hunt,KC,23,35,26,207,5.8,1202,14
27,Adrian Peterson,WAS,33,26,20,271,4.6,1250,8
26,T.Y. Hilton,IND,29,120,76,76,16.7,1270,6
25,Keenan Allen,LAC,26,136,97,106,12,1271,6
24,Brandin Cooks,LAR,25,117,80,90,14.1,1272,6
23,Phillip Lindsay,DEN,24,47,35,227,5.6,1278,10
22,Antonio Brown,PIT,30,168,104,104,12.5,1297,15
21,Chris Carson,SEA,24,24,20,267,4.9,1314,9
20,Travis Kelce,KC,29,150,103,103,13,1336,10
19,Melvin Gordon,LAC,25,66,50,225,6.1,1375,14
18,Robert Woods,LAR,26,130,86,105,13.1,1376,7
17,David Johnson,ARI,27,76,50,308,4.5,1386,10
16,Davante Adams,GB,26,169,111,111,12.5,1386,13
15,George Kittle,SF,25,136,88,89,15.6,1387,5
14,Adam Thielen,MIN,28,153,113,118,11.9,1403,9
13,Michael Thomas,NO,25,147,125,125,11.2,1405,9
12,JuJu Smith-Schuster,PIT,22,166,111,112,12.8,1439,7
11,Joe Mixon,CIN,22,55,43,280,5.2,1464,9
10,James Conner,PIT,23,71,55,270,5.4,1470,13
9,Mike Evans,TB,25,138,86,86,17.7,1524,8
8,DeAndre Hopkins,HOU,26,163,115,116,13.5,1565,11
7,Alvin Kamara,NO,23,105,81,275,5.8,1592,18
6,Tyreek Hill,KC,24,137,87,109,15,1630,13
5,Julio Jones,ATL,29,170,113,115,14.7,1689,8
4,Todd Gurley,LAR,24,81,59,315,5.8,1831,21
3,Christian McCaffrey,CAR,22,124,107,326,6,1965,13
2,Ezekiel Elliott,DAL,23,95,77,381,5.3,2001,9
1,Saquon Barkley,NYG,21,121,91,352,5.8,2028,15
