Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Keke Coutee,WR,HOU/8,-5.1,1.21,117.0,9.0,,,,,0.0,
Keelan Cole,WR,JAX/7,-5.13,1.34,118.0,9.0,,,,,0.0,
Greg Ward,WR,PHI/9,-5.16,1.23,119.0,9.0,24|08,284.4,348.0,1.4166666666666667,0.0,
Trey Quinn,WR,WAS/8,-5.22,1.38,121.0,9.0,,,,,0.0,
Justin Watson,WR,TB/13,-5.33,1.45,122.0,9.0,,,,,0.0,
Kalif Raymond,WR,TEN/7,-5.34,0.57,123.0,9.0,,,,,0.0,
John Hightower,WR,PHI/9,-5.41,1.13,124.0,9.0,27|02,314.0,385.0,-1.6666666666666667,0.0,
Dante Pettis,WR,SF/11,-5.42,1.31,125.0,9.0,28|06,330.3,367.0,-0.6666666666666666,0.0,
Darnell Mooney,WR,CHI/11,-5.43,0.17,127.0,9.0,,,,,0.0,
Isaiah McKenzie,WR,BUF/11,-5.46,0.96,128.0,9.0,,,,,0.0,
Tajae Sharpe,WR,MIN/7,-5.5,0.9,129.0,9.0,27|07,319.3,336.0,-3.4166666666666665,0.0,
Jake Kumerow,WR,GB/5,-5.52,1.05,130.0,9.0,,,,,0.0,
Rashard Higgins,WR,CLE/9,-5.55,1.15,131.0,9.0,,,,,0.0,
Cedrick Wilson,WR,DAL/10,-5.56,0.49,132.0,9.0,,,,,0.0,
Christian Blake,WR,ATL/10,-5.62,0.64,133.0,9.0,,,,,0.0,
Duke Williams,WR,BUF/11,-5.62,0.6,134.0,9.0,,,,,0.0,
Javon Wims,WR,CHI/11,-5.64,0.99,135.0,9.0,,,,,0.0,
DaeSean Hamilton,WR,DEN/8,-5.68,0.36,136.0,9.0,,,,,0.0,
Marcus Johnson,WR,IND/7,-5.74,0.3,137.0,10.0,,,,,0.0,
Cody Hollister,WR,TEN/7,-5.81,1.35,138.0,10.0,,,,,0.0,
Riley Ridley,WR,CHI/11,-5.81,0.91,139.0,10.0,,,,,0.0,
Chris Moore,WR,BAL/8,-5.84,0.47,140.0,10.0,,,,,0.0,
Tyler Johnson,WR,TB/13,-5.85,1.12,141.0,10.0,,,,,0.0,
Quintez Cephus,WR,DET/5,-5.86,0.84,142.0,10.0,28|01,325.5,375.0,-2.1666666666666665,0.0,
Seth Roberts,WR,CAR/13,-5.89,0.6,143.0,10.0,,,,,0.0,
Vyncint Smith,WR,NYJ/11,-5.93,0.96,144.0,10.0,,,,,0.0,
Deonte Harris,WR,NO/6,-5.94,0.65,145.0,10.0,,,,,0.0,
Corey Coleman,WR,NYG/11,-5.94,0.79,146.0,10.0,,,,,0.0,
KeeSean Johnson,WR,ARI/8,-5.99,0.95,147.0,10.0,,,,,0.0,
Freddie Swain,WR,SEA/6,-5.99,1.38,148.0,10.0,,,,,0.0,
Gabriel Davis,WR,BUF/11,-5.99,0.78,149.0,10.0,,,,,0.0,
Laquon Treadwell,WR,ATL/10,-6.03,1.03,150.0,10.0,,,,,0.0,
Braxton Berrios,WR,NYJ/11,-6.05,0.55,151.0,10.0,,,,,0.0,
Marvin Hall,WR,DET/5,-6.05,0.86,152.0,10.0,,,,,0.0,
Alex Erickson,WR,CIN/9,-6.06,1.3,153.0,10.0,,,,,0.0,
KJ Hill,WR,LAC/10,-6.06,1.63,154.0,10.0,,,,,0.0,
Isaiah Coulter,WR,HOU/8,-6.09,0.96,155.0,10.0,,,,,0.0,
Andre Patton,WR,LAC/10,-6.14,1.02,156.0,10.0,,,,,0.0,
Robert Foster,WR,/,-6.17,1.12,157.0,10.0,,,,,0.0,
Pharoh Cooper,WR,CAR/13,-6.2,0.65,158.0,10.0,,,,,0.0,
Hakeem Butler,WR,ARI/8,-6.27,1.11,159.0,10.0,29|10,346.3,374.0,-4.0,0.0,
Darius Jennings,WR,LAC/10,-6.32,0.93,160.0,10.0,,,,,0.0,
Noah Brown,WR,DAL/10,-6.33,0.58,161.0,10.0,,,,,0.0,
Ryan Switzer,WR,PIT/8,-6.36,0.55,162.0,10.0,,,,,0.0,
Olamide Zaccheaus,WR,ATL/10,-6.37,0.79,163.0,10.0,,,,,0.0,
Keelan Doss,WR,/,-6.37,1.43,164.0,10.0,,,,,0.0,
Zay Jones,WR,LV/6,-6.4,0.78,165.0,10.0,,,,,0.0,
Donovan Peoples-Jones,WR,CLE/9,-6.45,0.65,166.0,10.0,,,,,0.0,
Damion Ratley,WR,CLE/9,-6.5,0.73,167.0,10.0,,,,,0.0,
James Proche,WR,BAL/8,-6.52,0.51,168.0,10.0,,,,,0.0,
Mack Hollins,WR,MIA/11,-6.55,0.82,169.0,10.0,,,,,0.0,
Ventell Bryant,WR,DAL/10,-6.64,0.84,170.0,10.0,,,,,0.0,
John Ursua,WR,SEA/6,-6.72,1.14,171.0,10.0,,,,,0.0,
DeAndre Carter,WR,HOU/8,-6.73,0.39,172.0,10.0,,,,,0.0,
Trent Sherfield,WR,ARI/8,-6.78,0.2,173.0,10.0,,,,,0.0,
Richie James,WR,SF/11,-6.91,1.13,174.0,10.0,,,,,0.0,
Isaiah Hodgins,WR,BUF/11,-6.97,0.54,175.0,10.0,,,,,0.0,
Byron Pringle,WR,KC/10,-7.09,0.43,177.0,10.0,,,,,0.0,
KJ Osborn,WR,MIN/7,-7.09,0.02,178.0,10.0,,,,,0.0,
Cam Sims,WR,WAS/8,-7.28,0.17,180.0,10.0,,,,,0.0,
