Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Greg Olsen,TE,SEA/6,-1.19,0.8,24.0,6.0,16|11,191.4,178.0,-1.25,0.0,
Kyle Rudolph,TE,MIN/7,-1.42,0.64,25.0,6.0,18|12,216.5,169.0,-5.166666666666667,0.0,
Tyler Eifert,TE,JAX/7,-1.44,0.81,26.0,6.0,20|02,230.2,203.0,-3.583333333333333,0.0,
Dawson Knox,TE,BUF/11,-1.63,0.6,27.0,7.0,18|09,213.4,243.0,2.0,0.0,
OJ Howard,TE,TB/13,-1.72,0.66,28.0,7.0,17|10,202.8,188.0,-1.0833333333333333,0.0,
Gerald Everett,TE,LAR/9,-1.82,1.13,29.0,7.0,19|07,223.4,288.0,4.833333333333333,0.0,
Jimmy Graham,TE,CHI/11,-1.85,0.87,30.0,7.0,20|07,235.2,175.0,-6.083333333333332,0.0,
Will Dissly,TE,SEA/6,-2.2,0.89,31.0,7.0,19|08,224.0,190.0,-4.083333333333333,0.0,
Darren Fells,TE,HOU/8,-2.26,1.1,32.0,7.0,23|01,265.5,328.0,1.25,0.0,
CJ Uzomah,TE,CIN/9,-2.47,1.34,33.0,7.0,22|08,260.2,252.0,-5.833333333333332,0.0,
Jace Sternberger,TE,GB/5,-2.49,1.26,34.0,7.0,18|12,216.0,262.0,1.8333333333333333,0.0,
Dan Arnold,TE,ARI/8,-2.55,1.23,35.0,7.0,22|12,264.3,349.0,1.75,0.0,
Nick Boyle,TE,BAL/8,-2.65,0.96,36.0,7.0,,,,,0.0,
Jordan Akins,TE,HOU/8,-2.85,1.25,37.0,7.0,,,,,0.0,
Vance McDonald,TE,PIT/8,-2.96,1.1,38.0,8.0,23|07,271.3,297.0,0.6666666666666666,0.0,
David Njoku,TE,CLE/9,-2.97,1.34,39.0,8.0,21|08,248.9,266.0,0.0,0.0,
Devin Asiasi,TE,NE/6,-3.06,1.04,40.0,8.0,24|05,281.6,271.0,-5.333333333333333,0.0,
Logan Thomas,TE,WAS/8,-3.09,1.04,41.0,8.0,23|03,267.8,322.0,-1.9166666666666667,0.0,
Trey Burton,TE,IND/7,-3.45,0.68,42.0,8.0,23|08,272.6,335.0,0.6666666666666666,0.0,
Jason Witten,TE,LV/6,-3.59,1.15,43.0,8.0,25|06,294.3,368.0,2.25,0.0,
Cameron Brate,TE,TB/13,-3.67,0.78,44.0,8.0,24|11,287.3,317.0,0.8333333333333334,0.0,
Anthony Firkser,TE,TEN/7,-3.69,0.95,45.0,8.0,,,,,0.0,
Robert Tonyan,TE,GB/5,-3.72,1.04,46.0,8.0,,,,,0.0,
Ryan Griffin,TE,NYJ/11,-3.79,0.9,47.0,8.0,,,,,0.0,
Cole Kmet,TE,CHI/11,-3.84,0.75,48.0,8.0,26|07,307.6,296.0,-4.666666666666667,0.0,
Jordan Reed,TE,SF/11,-3.86,0.91,49.0,8.0,,,,,0.0,
Jeremy Sprinkle,TE,WAS/8,-3.96,1.07,50.0,8.0,,,,,0.0,
Harrison Bryant,TE,CLE/9,-4.11,1.04,52.0,8.0,,,,,0.0,
Dalton Keene,TE,NE/6,-4.21,0.6,53.0,8.0,,,,,0.0,
James OShaughnessy,TE,JAX/7,-4.24,1.04,54.0,8.0,,,,,0.0,
Dalton Schultz,TE,DAL/10,-4.27,0.83,55.0,9.0,,,,,0.0,
Kaden Smith,TE,NYG/11,-4.27,0.91,56.0,9.0,28|06,330.1,342.0,-5.083333333333333,0.0,
Maxx Williams,TE,ARI/8,-4.28,0.73,57.0,9.0,,,,,0.0,
Delanie Walker,TE,/,-4.3,0.67,58.0,9.0,,,,,0.0,
Mo Alie-Cox,TE,IND/7,-4.34,0.8,59.0,9.0,,,,,0.0,
Foster Moreau,TE,LV/6,-4.36,0.6,60.0,9.0,,,,,0.0,
Jesse James,TE,DET/5,-4.47,0.82,61.0,9.0,,,,,0.0,
Josh Hill,TE,NO/6,-4.55,0.72,62.0,9.0,,,,,0.0,
Ricky Seals-Jones,TE,KC/10,-4.59,0.98,63.0,9.0,,,,,0.0,
Drew Sample,TE,CIN/9,-4.59,0.73,64.0,9.0,29|11,347.4,356.0,-3.583333333333333,0.0,
Demetrius Harris,TE,CHI/11,-4.59,0.67,65.0,9.0,,,,,0.0,
Jaeden Graham,TE,ATL/10,-4.6,0.83,66.0,9.0,,,,,0.0,
Josiah Deguara,TE,GB/5,-4.63,0.59,67.0,9.0,29|05,341.2,361.0,-8.25,0.0,
Albert Okwuegbunam,TE,DEN/8,-4.63,1.08,68.0,9.0,28|07,331.7,383.0,-2.25,0.0,
Virgil Green,TE,LAC/10,-4.68,0.35,69.0,9.0,,,,,0.0,
Levine Toilolo,TE,NYG/11,-4.7,1.04,70.0,9.0,,,,,0.0,
MyCole Pruitt,TE,TEN/7,-4.7,0.47,71.0,9.0,,,,,0.0,
Jacob Hollister,TE,SEA/6,-4.72,0.82,73.0,9.0,26|06,306.5,321.0,-2.1666666666666665,0.0,
Jeff Heuerman,TE,DEN/8,-4.74,0.63,74.0,9.0,,,,,0.0,
Cethan Carter,TE,CIN/9,-4.78,0.05,76.0,9.0,,,,,0.0,
Adam Shaheen,TE,MIA/11,-4.79,1.03,77.0,9.0,,,,,0.0,
Nick Vannett,TE,DEN/8,-4.83,0.74,78.0,9.0,,,,,0.0,
Tyler Kroft,TE,BUF/11,-4.86,0.8,79.0,9.0,,,,,0.0,
Adam Trautman,TE,NO/6,-4.88,0.46,80.0,9.0,28|01,325.3,371.0,-1.0,0.0,
Jordan Thomas,TE,HOU/8,-4.9,0.7,82.0,9.0,,,,,0.0,
Marcedes Lewis,TE,GB/5,-4.97,0.69,83.0,9.0,,,,,0.0,
