name,ppg
Dan Bailey (MIN),7.4
Zach Pascal (IND),7.3
Kenny Stills (HOU),7.3
Brandin Cooks (HOU),7.3
Darren Fells (HOU),7.3
Jacob Hollister (SEA),7.3
Austin Seibert (CLE),7.3
Minnesota Vikings (MIN),7.3
Danny Amendola (DET),7.2
Kyle Rudolph (MIN),7.1
Mecole Hardman (KC),7
Jason Witten (LV),7
Dwayne Haskins (WAS),7
Chase Daniel (DET),7
James O'Shaughnessy (JAC),6.9
Jaylen Samuels (PIT),6.9
Ben Roethlisberger (PIT),6.9
Ka'imi Fairbairn (HOU),6.9
Chicago Bears (CHI),6.9
Nelson Agholor (LV),6.8
Mason Crosby (GB),6.8
Indianapolis Colts (IND),6.8
Dallas Cowboys (DAL),6.8
Dallas Goedert (PHI),6.7
Frank Gore (NYJ),6.7
Darrel Williams (KC),6.7
Stephen Hauschka (BUF),6.7
Jake Elliott (PHI),6.7
Adam Vinatieri (FA),6.7
Philadelphia Eagles (PHI),6.7
Auden Tate (CIN),6.6
Diontae Johnson (PIT),6.6
Ryan Griffin (NYJ),6.6
Jack Doyle (IND),6.6
Gerald Everett (LAR),6.5
Eric Ebron (PIT),6.5
Washington Football Team (WAS),6.5
Jacksonville Jaguars (JAC),6.5
Corey Davis (TEN),6.4
Hunter Renfrow (LV),6.3
Delanie Walker (FA),6.3
Brian Hoyer (NE),6.3
Dustin Hopkins (WAS),6.3
Cleveland Browns (CLE),6.3
Randy Bullock (CIN),6.2
Green Bay Packers (GB),6.1
Eddy Pineiro (CHI),6
Matt Bryant (FA),6
Mike Nugent (FA),6
David Njoku (CLE),5.9
Nyheim Hines (IND),5.9
New York Giants (NYG),5.9
Demarcus Robinson (KC),5.8
Demaryius Thomas (FA),5.8
J.J. Nelson (SF),5.8
Vernon Davis (FA),5.8
Denver Broncos (DEN),5.8
Adam Humphries (TEN),5.7
Josh Gordon (FA),5.7
Mike Gesicki (MIA),5.7
Rex Burkhead (NE),5.7
Matt Schaub (ATL),5.7
Daniel Carlson (LV),5.7
Houston Texans (HOU),5.7
Marquez Valdes-Scantling (GB),5.6
Cairo Santos (CHI),5.6
Anthony Miller (CHI),5.5
Jimmy Graham (CHI),5.5
Tyler Higbee (LAR),5.5
Jason Sanders (MIA),5.5
Willie Snead (BAL),5.4
T.J. Hockenson (DET),5.4
Sam Ficken (NYJ),5.4
Los Angeles Chargers (LAC),5.4
Vance McDonald (PIT),5.3
Gus Edwards (BAL),5.3
Kendrick Bourne (SF),5.2
Noah Fant (DEN),5.2
Taysom Hill (NO),5.2
Las Vegas Raiders (LV),5.2
Ted Ginn (CHI),5.1
Paul Richardson Jr. (FA),5.1
Justin Jackson (LAC),5.1
Devin Smith (DAL),5
J.D. McKissic (WAS),5
Brian Hill (ATL),5
Duke Williams (BUF),4.9
Mark Walton (FA),4.9
Allen Lazard (GB),4.8
Detroit Lions (DET),4.8
Alex Erickson (CIN),4.7
Allen Hurns (MIA),4.7
Devin Funchess (GB),4.7
Dawson Knox (BUF),4.7
Alexander Mattison (MIN),4.7
Jordan Akins (HOU),4.6
Blake Jarwin (DAL),4.6
Jesper Horsted (CHI),4.6
Tony Pollard (DAL),4.6
O.J. Howard (TB),4.5
Jeff Wilson (SF),4.5
Cody Parkey (FA),4.5
Bennie Fowler III (NO),4.4
Parris Campbell (IND),4.4
Tyler Eifert (JAC),4.4
Ito Smith (ATL),4.4
Aldrick Rosas (FA),4.4
Dontrelle Inman (WAS),4.3
Wayne Gallman (NYG),4.3
Keke Coutee (HOU),4.2
Kaden Smith (NYG),4.2
Benny Snell Jr. (PIT),4.2
Geronimo Allison (DET),4.1
Albert Wilson (MIA),4.1
Marcus Johnson (IND),4.1
Kalif Raymond (TEN),4.1
Foster Moreau (LV),4.1
Qadree Ollison (ATL),4.1
Russell Gage (ATL),4
Marvin Hall (DET),4
Tre'Quan Smith (NO),4
Jonnu Smith (TEN),4
Cameron Brate (TB),4
Malcolm Brown (LAR),4
Olabisi Johnson (MIN),3.9
David Moore (SEA),3.9
Jaron Brown (SF),3.9
Irv Smith Jr. (MIN),3.9
Nick Boyle (BAL),3.9
DeAndre Washington (KC),3.9
Luke Falk (FA),3.9
Breshad Perriman (NYJ),3.8
Pharoh Cooper (CAR),3.8
Damiere Byrd (NE),3.8
TJ Jones (FA),3.8
Dare Ogunbowale (TB),3.8
Josh Rosen (MIA),3.8
Arizona Cardinals (ARI),3.8
Jakobi Meyers (NE),3.7
Kalen Ballage (MIA),3.7
Jakeem Grant (MIA),3.6
KeeSean Johnson (ARI),3.6
Marquise Goodwin (PHI),3.6
N'Keal Harry (NE),3.6
Jalen Richard (LV),3.6
Brandon Bolden (NE),3.6
Ryan Succop (FA),3.6
Cincinnati Bengals (CIN),3.6
Isaiah McKenzie (BUF),3.5
Benjamin Watson (FA),3.5
T.J. Yeldon (BUF),3.5
Atlanta Falcons (ATL),3.5
Tajae Sharpe (MIN),3.4
Ryan Izzo (NE),3.4
Giovani Bernard (CIN),3.4
Josh Reynolds (LAR),3.3
Cody Latimer (FA),3.3
Trey Quinn (WAS),3.2
Keelan Cole (JAC),3.2
Hayden Hurst (ATL),3.2
Ricky Seals-Jones (KC),3.2
Rhett Ellison (FA),3.2
C.J. Prosise (FA),3.2
Chester Rogers (MIA),3.1
Miles Boykin (BAL),3
Ty Johnson (DET),3
Ty Long (LAC),3
Steven Sims (WAS),2.9
Christian Blake (ATL),2.9
Jeremy Sprinkle (WAS),2.9
Demetrius Harris (CHI),2.8
Josh Hill (NO),2.8
Dontrell Hilliard (CLE),2.8
Jarius Wright (FA),2.7
Jake Kumerow (GB),2.7
Tavon Austin (SF),2.7
Tevin Jones (DAL),2.7
Chad Beebe (MIN),2.7
Greg Ward (PHI),2.7
Kerrith Whyte Jr. (PIT),2.7
Colt McCoy (NYG),2.7
Kelvin Harmon (WAS),2.6
Seth Roberts (CAR),2.6
Andy Isabella (ARI),2.6
Dante Pettis (SF),2.6
Antonio Callaway (FA),2.6
Tim Patrick (DEN),2.6
Dion Lewis (NYG),2.6
Patrick Laird (MIA),2.6
Kyle Juszczyk (SF),2.6
Malik Turner (GB),2.5
Zay Jones (LV),2.5
Stephen Carlson (CLE),2.5
Jordan Wilkins (IND),2.5
Laquon Treadwell (ATL),2.4
Scott Miller (TB),2.4
Anthony Firkser (TEN),2.4
Robert Griffin (BAL),2.4
Byron Pringle (KC),2.3
Charles Clay (FA),2.3
Trey Edmunds (PIT),2.3
Darren Sproles (FA),2.3
Trevor Davis (FA),2.2
Geoff Swaim (TEN),2.2
Ryquell Armstead (JAC),2.2
Tra Carson (FA),2.2
Jonathan Hilliman (FA),2.2
C.J. Anderson (FA),2.2
Javon Wims (CHI),2.1
Keelan Doss (LV),2.1
Ross Dwelley (SF),2.1
Maxx Williams (ARI),2.1
Jaeden Graham (ATL),2.1
C.J. Uzomah (CIN),2.1
Marcedes Lewis (GB),2.1
Ross Travis (NYJ),2.1
Boston Scott (PHI),2.1
Matt Barkley (BUF),2.1
Miami Dolphins (MIA),2.1
Richie James (SF),2
Logan Thomas (WAS),2
Darrell Henderson (LAR),2
Kai Forbath (FA),2
Vyncint Smith (NYJ),1.9
Rashard Higgins (CLE),1.9
Cordarrelle Patterson (CHI),1.8
Justin Hardy (FA),1.8
Jordan Matthews (FA),1.8
Derek Carrier (LV),1.8
Ryan Grant (FA),1.7
Trey Burton (IND),1.7
CJ Ham (MIN),1.7
Darwin Thompson (KC),1.7
J.J. Arcega-Whiteside (PHI),1.6
Damion Ratley (CLE),1.6
Da'Mari Scott (NYG),1.6
Reggie Bonnafon (CAR),1.6
Justice Hill (BAL),1.6
Wendell Smallwood (PIT),1.6
Andy Janovich (CLE),1.6
DaeSean Hamilton (DEN),1.5
Mack Hollins (MIA),1.5
Jeff Heuerman (FA),1.5
Matt LaCosse (NE),1.5
Luke Willson (SEA),1.5
Adam Shaheen (MIA),1.5
Robert Tonyan (GB),1.5
Myles Gaskin (MIA),1.5
Deon Cain (PIT),1.4
Cedrick Wilson (DAL),1.4
Michael Crabtree (FA),1.4
C.J. Board (NYG),1.4
Nick Vannett (DEN),1.4
Ben Braunecker (FA),1.4
Nick O'Leary (FA),1.4
Bilal Powell (FA),1.4
